,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",Gini index,GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",GDP per capita
116,Greece,2013,66.1607723236084,0.5128499865531924,-0.921269454256898,36.1,238907690051.132,3.146085112067145,2.3238232930501304,21.992029666900628,10965211.0,27.47,4.24,81.2853658536585,5.9342,21787.787763603636
117,Hungary,2013,98.3937377929688,0.502839982509613,1.73319984983107,31.5,135684315697.713,5.028018122401085,7.5486102104187,21.4570903778076,9893082.0,10.18,7.04,75.5658536585366,3.2284,13715.07035903604
118,Indonesia,2013,46.13758468627928,0.036854999139905,6.41251330156414,40.8,912524136718.018,5.32600158064744,0.5431833465894067,8.79502511024475,253275918.0,4.34,0.99,69.264,0.2046666666666666,3602.885516806291
119,Israel,2013,88.427131652832,1.43874001502991,1.57025539211264,40.2,297732778479.129,4.698293490021564,12.0860500335693,45.4160499572754,8059500.0,6.21,3.09,82.0560975609756,3.4788,36941.84235735828
120,Lithuania,2013,92.2894592285156,0.442750006914139,1.04747937065349,35.3,46523420074.4372,7.94538957939705,13.548693339029969,29.8839302062988,2957689.0,11.77,7.31,73.9146341463415,4.2042,15729.652466651229
121,Latvia,2013,98.9774017333984,0.46900999546051,-0.0294547782578977,35.5,30204783461.8488,6.09902241547557,11.321843465169266,29.2403507232666,2012647.0,11.87,5.8,73.9829268292683,3.1408,15007.491856171897
122,Moldova,2013,95.4942779541016,0.063740000128746,4.59787897363129,28.5,9496717700.89855,7.2405716067240755,0.56878000497818,33.080509185791,2859558.0,5.1,5.83,69.099,2.5028,3321.043916891544
125,Netherlands,2013,89.4114608764648,0.554610013961792,2.50689852657884,28.1,877172824534.519,4.553269485969805,10.0669403076172,29.8791599273682,16804432.0,7.24,3.61,81.3048780487805,3.3058,52198.89756074582
127,Pakistan,2013,35.4273300170898,0.490139991044998,7.6921561189957,29.5,231218467669.571,7.554751711732704,1.73292994499207,7.9913501739502,205337562.0,2.95,0.6,65.15,0.8771,1126.0407760640064
128,Panama,2013,61.490291595459,0.255290001630783,4.02716053442986,51.5,45599900000.0,10.88602180134541,2.37209010124207,21.3589096069336,3821556.0,3.703,2.3,77.038,1.5821,11932.286220586588
130,Portugal,2013,49.2851486206055,0.4780266682306927,0.27441666666668,36.2,226433858005.716,4.35284471492313,13.917867024739566,15.8727903366089,10457295.0,16.19,3.39,80.7219512195122,4.3932,21653.195975222658
132,Romania,2013,89.4360809326172,0.0810699984431267,3.98471235548128,36.9,189789277576.061,4.04442330649708,9.26996040344238,13.5286197662354,19983693.0,7.1,6.67,75.0634146341463,2.624,9497.207426878556
133,El Salvador,2013,41.037971496582,0.0388000011444092,0.7576691845229,43.4,21990960000.0,20.07335587747165,0.263790011405945,10.1643600463867,6185642.0,3.69,1.07,71.771,1.5662,3555.1620995848125
134,Serbia,2013,85.7873001098633,0.283309996128082,7.69426362896666,39.5,48394239474.6762,3.29628637409932,0.76172000169754,18.215030670166,7164132.0,22.15,5.5,75.1853658536585,2.4945,6755.073674616297
136,Slovenia,2013,97.1484069824219,1.8974466323852532,1.76920085881896,26.2,48415657264.8762,7.33255210813689,14.120683352152534,24.8217792510986,2059953.0,10.1,4.55,80.3219512195122,2.6252,23503.282485025724
137,Sweden,2013,88.9272308349609,1.15891003608704,-0.0442929701486557,28.8,586841821796.891,4.990884779030055,10.3831796646118,30.5116901397705,9600379.0,8.05,2.59,81.9560975609756,4.0365,61126.94319639787
138,Turkiye,2013,52.6753196716309,0.343560010194778,7.49309030547697,40.2,957798998031.277,5.39842011797903,1.5528199672699,14.8832502365112,76576117.0,8.73,2.65,76.297,1.7619,12507.80315788638
140,Albania,2014,86.2205581665039,0.0896200016140938,1.62586504402607,34.6,13228147516.1168,4.12681470034922,11.437505245208753,12.451145172119102,2889104.0,18.05,2.8833333333333333,78.407,1.2459250000000002,4578.63320812155
