,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85
108,0.2,0.3,0.0,0.1,0.1,0.1
109,0.1,0.7,0.0,0.0,0.0,0.1
110,0.0,0.2,0.0,0.0,0.0,0.1
111,13.7,40.5,0.8,3.7,3.0,14.7
112,1.7,3.8,0.7,1.0,1.1,1.7
113,0.1,0.2,0.0,0.1,0.1,0.1
114,0.2,0.5,0.2,0.2,0.2,0.3
115,25.3,60.0,2.1,7.9,8.1,24.7
116,2.6,8.3,0.3,0.9,1.0,2.9
117,0.9,7.3,0.0,0.2,0.2,1.8
118,43.6,76.2,1.8,12.7,11.2,36.1
119,1.0,5.2,0.2,0.4,0.5,1.6
120,2.0,5.8,0.5,0.8,0.7,2.1
121,2.5,8.1,0.6,1.1,1.2,2.9
122,1.6,21.1,0.0,0.2,0.0,4.4
123,0.0,0.2,0.0,0.0,0.0,0.1
124,0.6,6.6,0.0,0.1,0.0,1.4
125,0.2,0.3,0.0,0.1,0.1,0.1
126,0.2,0.4,0.1,0.1,0.1,0.2
127,44.6,86.5,1.1,11.1,7.4,39.2
128,7.0,18.2,0.6,2.2,2.2,7.0
129,0.9,3.9,0.2,0.4,0.4,1.2
130,1.8,5.4,0.4,0.7,0.9,2.0
131,6.8,23.3,0.6,2.1,1.8,8.0
132,15.1,32.8,2.3,5.7,6.6,14.2
133,14.2,42.7,0.9,4.0,3.6,15.6
134,11.6,28.3,3.2,5.5,5.8,12.0
135,1.2,4.1,0.2,0.4,0.3,1.5
136,0.1,0.4,0.0,0.0,0.0,0.1
